Experiment,Sample,Cells,Input_replicate,Input_adapter_1,Input_adapter_2,CLIP_replicate,CLIP_adapter_1,CLIP_adapter_2,RBP,CLIP_barcode_1,CLIP_barcode_2,Accession,CLIP_fastq_1,CLIP_fastq_2,Input_fastq_1,Input_fastq_2
EIF4A3_K562_255,EIF4A3_K562_255,K562,1,/tscc/projects/ps-yeolab3/eboyle/encode/pipeline/adapters/fwd_encode3.fasta,/tscc/projects/ps-yeolab4/software/skipper/1.99.0/examples/inputs/InvRiL19.fasta,2,/tscc/projects/ps-yeolab3/eboyle/encode/pipeline/adapters/fwd_encode3.fasta,/tscc/projects/ps-yeolab5/encode/processing/rerun_failed/adapters/A03_G07.fasta,EIF4A3,A03,G07,255,/tscc/nfs/home/bay001/projects/encode/temporary_data/merged_fastqs/255_02_CLIP_2.A03_G07.demuxed.r1.fq.gz,/tscc/nfs/home/bay001/projects/encode/temporary_data/merged_fastqs/255_02_CLIP_2.A03_G07.demuxed.r2.fq.gz,/tscc/nfs/home/bay001/projects/encode/temporary_data/demuxed_fastqs/failed.255_INPUT_1.NIL.r1.fq.gz,/tscc/nfs/home/bay001/projects/encode/temporary_data/demuxed_fastqs/failed.255_INPUT_1.NIL.r2.fq.gz
EIF4A3_K562_255,EIF4A3_K562_255,K562,1,/tscc/projects/ps-yeolab3/eboyle/encode/pipeline/adapters/fwd_encode3.fasta,/tscc/projects/ps-yeolab4/software/skipper/1.99.0/examples/inputs/InvRiL19.fasta,1,/tscc/projects/ps-yeolab3/eboyle/encode/pipeline/adapters/fwd_encode3.fasta,/tscc/projects/ps-yeolab5/encode/processing/rerun_failed/adapters/A04_F05.fasta,EIF4A3,A04,F05,255,/tscc/nfs/home/bay001/projects/encode/temporary_data/merged_fastqs/255_01_CLIP_1.A04_F05.demuxed.r1.fq.gz,/tscc/nfs/home/bay001/projects/encode/temporary_data/merged_fastqs/255_01_CLIP_1.A04_F05.demuxed.r2.fq.gz,/tscc/nfs/home/bay001/projects/encode/temporary_data/demuxed_fastqs/failed.255_INPUT_1.NIL.r1.fq.gz,/tscc/nfs/home/bay001/projects/encode/temporary_data/demuxed_fastqs/failed.255_INPUT_1.NIL.r2.fq.gz
AUH_K562_246,AUH_K562_246,K562,1,/tscc/projects/ps-yeolab3/eboyle/encode/pipeline/adapters/fwd_encode3.fasta,/tscc/projects/ps-yeolab4/software/skipper/1.99.0/examples/inputs/InvRiL19.fasta,1,/tscc/projects/ps-yeolab3/eboyle/encode/pipeline/adapters/fwd_encode3.fasta,/tscc/projects/ps-yeolab5/encode/processing/rerun_failed/adapters/A03_G07.fasta,AUH,A03,G07,246,/tscc/nfs/home/bay001/projects/encode/temporary_data/merged_fastqs/246_CLIP_1.A03_G07.demuxed.r1.fq.gz,/tscc/nfs/home/bay001/projects/encode/temporary_data/merged_fastqs/246_CLIP_1.A03_G07.demuxed.r2.fq.gz,/tscc/nfs/home/bay001/projects/encode/temporary_data/demuxed_fastqs/failed.246_INPUT_1.NIL.r1.fq.gz,/tscc/nfs/home/bay001/projects/encode/temporary_data/demuxed_fastqs/failed.246_INPUT_1.NIL.r2.fq.gz
AUH_K562_246,AUH_K562_246,K562,1,/tscc/projects/ps-yeolab3/eboyle/encode/pipeline/adapters/fwd_encode3.fasta,/tscc/projects/ps-yeolab4/software/skipper/1.99.0/examples/inputs/InvRiL19.fasta,2,/tscc/projects/ps-yeolab3/eboyle/encode/pipeline/adapters/fwd_encode3.fasta,/tscc/projects/ps-yeolab5/encode/processing/rerun_failed/adapters/A04_F05.fasta,AUH,A04,F05,246,/tscc/nfs/home/bay001/projects/encode/temporary_data/merged_fastqs/246_CLIP_2.A04_F05.demuxed.r1.fq.gz,/tscc/nfs/home/bay001/projects/encode/temporary_data/merged_fastqs/246_CLIP_2.A04_F05.demuxed.r2.fq.gz,/tscc/nfs/home/bay001/projects/encode/temporary_data/demuxed_fastqs/failed.246_INPUT_1.NIL.r1.fq.gz,/tscc/nfs/home/bay001/projects/encode/temporary_data/demuxed_fastqs/failed.246_INPUT_1.NIL.r2.fq.gz
BCCIP_K562_254,BCCIP_K562_254,K562,1,/tscc/projects/ps-yeolab3/eboyle/encode/pipeline/adapters/fwd_encode3.fasta,/tscc/projects/ps-yeolab4/software/skipper/1.99.0/examples/inputs/InvRiL19.fasta,1,/tscc/projects/ps-yeolab3/eboyle/encode/pipeline/adapters/fwd_encode3.fasta,/tscc/projects/ps-yeolab5/encode/processing/rerun_failed/adapters/A04_F05.fasta,BCCIP,A04,F05,254,/tscc/nfs/home/bay001/projects/encode/temporary_data/merged_fastqs/254_CLIP_1.A04_F05.demuxed.r1.fq.gz,/tscc/nfs/home/bay001/projects/encode/temporary_data/merged_fastqs/254_CLIP_1.A04_F05.demuxed.r2.fq.gz,/tscc/nfs/home/bay001/projects/encode/temporary_data/demuxed_fastqs/failed.254_INPUT_1.NIL.r1.fq.gz,/tscc/nfs/home/bay001/projects/encode/temporary_data/demuxed_fastqs/failed.254_INPUT_1.NIL.r2.fq.gz
BCCIP_K562_254,BCCIP_K562_254,K562,1,/tscc/projects/ps-yeolab3/eboyle/encode/pipeline/adapters/fwd_encode3.fasta,/tscc/projects/ps-yeolab4/software/skipper/1.99.0/examples/inputs/InvRiL19.fasta,2,/tscc/projects/ps-yeolab3/eboyle/encode/pipeline/adapters/fwd_encode3.fasta,/tscc/projects/ps-yeolab5/encode/processing/rerun_failed/adapters/A03_G07.fasta,BCCIP,A03,G07,254,/tscc/nfs/home/bay001/projects/encode/temporary_data/merged_fastqs/254_CLIP_2.A03_G07.demuxed.r1.fq.gz,/tscc/nfs/home/bay001/projects/encode/temporary_data/merged_fastqs/254_CLIP_2.A03_G07.demuxed.r2.fq.gz,/tscc/nfs/home/bay001/projects/encode/temporary_data/demuxed_fastqs/failed.254_INPUT_1.NIL.r1.fq.gz,/tscc/nfs/home/bay001/projects/encode/temporary_data/demuxed_fastqs/failed.254_INPUT_1.NIL.r2.fq.gz
XRCC5_K562_317,XRCC5_K562_317,K562,1,/tscc/projects/ps-yeolab3/eboyle/encode/pipeline/adapters/fwd_encode3.fasta,/tscc/projects/ps-yeolab4/software/skipper/1.99.0/examples/inputs/InvRiL19.fasta,1,/tscc/projects/ps-yeolab3/eboyle/encode/pipeline/adapters/fwd_encode3.fasta,/tscc/projects/ps-yeolab5/encode/processing/rerun_failed/adapters/A01_B06.fasta,XRCC5,A01,B06,317,/tscc/nfs/home/bay001/projects/encode/temporary_data/merged_fastqs/317_CLIP_1.A01_B06.demuxed.r1.fq.gz,/tscc/nfs/home/bay001/projects/encode/temporary_data/merged_fastqs/317_CLIP_1.A01_B06.demuxed.r2.fq.gz,/tscc/nfs/home/bay001/projects/encode/temporary_data/demuxed_fastqs/failed.317_INPUT_1.NIL.r1.fq.gz,/tscc/nfs/home/bay001/projects/encode/temporary_data/demuxed_fastqs/failed.317_INPUT_1.NIL.r2.fq.gz
XRCC5_K562_317,XRCC5_K562_317,K562,1,/tscc/projects/ps-yeolab3/eboyle/encode/pipeline/adapters/fwd_encode3.fasta,/tscc/projects/ps-yeolab4/software/skipper/1.99.0/examples/inputs/InvRiL19.fasta,2,/tscc/projects/ps-yeolab3/eboyle/encode/pipeline/adapters/fwd_encode3.fasta,/tscc/projects/ps-yeolab5/encode/processing/rerun_failed/adapters/C01_D08fixed.fasta,XRCC5,C01,D08fixed,317,/tscc/nfs/home/bay001/projects/encode/temporary_data/merged_fastqs/317_CLIP_2.C01_D08fixed.demuxed.r1.fq.gz,/tscc/nfs/home/bay001/projects/encode/temporary_data/merged_fastqs/317_CLIP_2.C01_D08fixed.demuxed.r2.fq.gz,/tscc/nfs/home/bay001/projects/encode/temporary_data/demuxed_fastqs/failed.317_INPUT_1.NIL.r1.fq.gz,/tscc/nfs/home/bay001/projects/encode/temporary_data/demuxed_fastqs/failed.317_INPUT_1.NIL.r2.fq.gz
RBM34_K562_327,RBM34_K562_327,K562,1,/tscc/projects/ps-yeolab3/eboyle/encode/pipeline/adapters/fwd_encode3.fasta,/tscc/projects/ps-yeolab4/software/skipper/1.99.0/examples/inputs/InvRiL19.fasta,1,/tscc/projects/ps-yeolab3/eboyle/encode/pipeline/adapters/fwd_encode3.fasta,/tscc/projects/ps-yeolab5/encode/processing/rerun_failed/adapters/A01_A03.fasta,RBM34,A01,A03,327,/tscc/nfs/home/bay001/projects/encode/temporary_data/merged_fastqs/327_CLIP_1.A01_A03.demuxed.r1.fq.gz,/tscc/nfs/home/bay001/projects/encode/temporary_data/merged_fastqs/327_CLIP_1.A01_A03.demuxed.r2.fq.gz,/tscc/nfs/home/bay001/projects/encode/temporary_data/demuxed_fastqs/failed.327_INPUT_1.NIL.r1.fq.gz,/tscc/nfs/home/bay001/projects/encode/temporary_data/demuxed_fastqs/failed.327_INPUT_1.NIL.r2.fq.gz
RBM34_K562_327,RBM34_K562_327,K562,1,/tscc/projects/ps-yeolab3/eboyle/encode/pipeline/adapters/fwd_encode3.fasta,/tscc/projects/ps-yeolab4/software/skipper/1.99.0/examples/inputs/InvRiL19.fasta,2,/tscc/projects/ps-yeolab3/eboyle/encode/pipeline/adapters/fwd_encode3.fasta,/tscc/projects/ps-yeolab5/encode/processing/rerun_failed/adapters/C01_D08fixed.fasta,RBM34,C01,D08fixed,327,/tscc/nfs/home/bay001/projects/encode/temporary_data/merged_fastqs/327_CLIP_2.C01_D08fixed.demuxed.r1.fq.gz,/tscc/nfs/home/bay001/projects/encode/temporary_data/merged_fastqs/327_CLIP_2.C01_D08fixed.demuxed.r2.fq.gz,/tscc/nfs/home/bay001/projects/encode/temporary_data/demuxed_fastqs/failed.327_INPUT_1.NIL.r1.fq.gz,/tscc/nfs/home/bay001/projects/encode/temporary_data/demuxed_fastqs/failed.327_INPUT_1.NIL.r2.fq.gz
