Experiment,Sample,Cells,Input_replicate,Input_adapter_1,Input_adapter_2,Input_fastq_1,Input_fastq_2,CLIP_replicate,CLIP_adapter_1,CLIP_adapter_2,CLIP_fastq_1,CLIP_fastq_2,Accession,Barcode 1,Barcode 2,RBP
AKAP8L_K562_ENCSR206RXT,AKAP8L_K562_ENCSR206RXT,K562,1,/tscc/projects/ps-yeolab3/eboyle/encode/pipeline/adapters/fwd_encode3.fasta,/tscc/projects/ps-yeolab3/eboyle/encode/pipeline/adapters/RiL19.fasta,/tscc/projects/ps-yeolab4/seqdata/eclip_fastq/sm_input/ENCFF741GZP.fastq.gz,/tscc/projects/ps-yeolab4/seqdata/eclip_fastq/sm_input/ENCFF534UAZ.fastq.gz,1,/tscc/projects/ps-yeolab3/eboyle/encode/pipeline/adapters/fwd_encode3.fasta,/tscc/projects/ps-yeolab3/eboyle/encode/pipeline/adapters/A01_B06.fasta,/tscc/projects/ps-yeolab4/seqdata/eclip_fastq/clip/ENCFF941NZR.fastq.gz,/tscc/projects/ps-yeolab4/seqdata/eclip_fastq/clip/ENCFF443KRX.fastq.gz,ENCSR206RXT,A01,B06,AKAP8L
BUD13_K562_ENCSR663WES,BUD13_K562_ENCSR663WES,K562,1,/tscc/projects/ps-yeolab3/eboyle/encode/pipeline/adapters/fwd_encode3.fasta,/tscc/projects/ps-yeolab3/eboyle/encode/pipeline/adapters/RiL19.fasta,/tscc/projects/ps-yeolab4/seqdata/eclip_fastq/sm_input/ENCFF818MIM.fastq.gz,/tscc/projects/ps-yeolab4/seqdata/eclip_fastq/sm_input/ENCFF593CTK.fastq.gz,1,/tscc/projects/ps-yeolab3/eboyle/encode/pipeline/adapters/fwd_encode3.fasta,/tscc/projects/ps-yeolab3/eboyle/encode/pipeline/adapters/A01_B06.fasta,/tscc/projects/ps-yeolab4/seqdata/eclip_fastq/clip/ENCFF545BFR.fastq.gz,/tscc/projects/ps-yeolab4/seqdata/eclip_fastq/clip/ENCFF912DJK.fastq.gz,ENCSR663WES,A01,B06,BUD13
CPSF6_K562_ENCSR532VUB,CPSF6_K562_ENCSR532VUB,K562,1,/tscc/projects/ps-yeolab3/eboyle/encode/pipeline/adapters/fwd_encode3.fasta,/tscc/projects/ps-yeolab3/eboyle/encode/pipeline/adapters/RiL19.fasta,/tscc/projects/ps-yeolab4/seqdata/eclip_fastq/sm_input/ENCFF887HZS.fastq.gz,/tscc/projects/ps-yeolab4/seqdata/eclip_fastq/sm_input/ENCFF523STK.fastq.gz,1,/tscc/projects/ps-yeolab3/eboyle/encode/pipeline/adapters/fwd_encode3.fasta,/tscc/projects/ps-yeolab3/eboyle/encode/pipeline/adapters/A01_B06.fasta,/tscc/projects/ps-yeolab4/seqdata/eclip_fastq/clip/ENCFF776TRJ.fastq.gz,/tscc/projects/ps-yeolab4/seqdata/eclip_fastq/clip/ENCFF394FNH.fastq.gz,ENCSR532VUB,A01,B06,CPSF6
CSTF2T_K562_ENCSR840DRD,CSTF2T_K562_ENCSR840DRD,K562,1,/tscc/projects/ps-yeolab3/eboyle/encode/pipeline/adapters/fwd_encode3.fasta,/tscc/projects/ps-yeolab3/eboyle/encode/pipeline/adapters/RiL19.fasta,/tscc/projects/ps-yeolab4/seqdata/eclip_fastq/sm_input/ENCFF271URZ.fastq.gz,/tscc/projects/ps-yeolab4/seqdata/eclip_fastq/sm_input/ENCFF599GSZ.fastq.gz,1,/tscc/projects/ps-yeolab3/eboyle/encode/pipeline/adapters/fwd_encode3.fasta,/tscc/projects/ps-yeolab3/eboyle/encode/pipeline/adapters/A01_B06.fasta,/tscc/projects/ps-yeolab4/seqdata/eclip_fastq/clip/ENCFF305FQD.fastq.gz,/tscc/projects/ps-yeolab4/seqdata/eclip_fastq/clip/ENCFF251DNT.fastq.gz,ENCSR840DRD,A01,B06,CSTF2T
DDX21_K562_ENCSR040QLV,DDX21_K562_ENCSR040QLV,K562,1,/tscc/projects/ps-yeolab3/eboyle/encode/pipeline/adapters/fwd_encode3.fasta,/tscc/projects/ps-yeolab3/eboyle/encode/pipeline/adapters/RiL19.fasta,/tscc/projects/ps-yeolab4/seqdata/eclip_fastq/sm_input/ENCFF790GSX.fastq.gz,/tscc/projects/ps-yeolab4/seqdata/eclip_fastq/sm_input/ENCFF953OQX.fastq.gz,1,/tscc/projects/ps-yeolab3/eboyle/encode/pipeline/adapters/fwd_encode3.fasta,/tscc/projects/ps-yeolab3/eboyle/encode/pipeline/adapters/A01_B06.fasta,/tscc/projects/ps-yeolab4/seqdata/eclip_fastq/clip/ENCFF671GCD.fastq.gz,/tscc/projects/ps-yeolab4/seqdata/eclip_fastq/clip/ENCFF946SJB.fastq.gz,ENCSR040QLV,A01,B06,DDX21
DDX24_K562_ENCSR999WKT,DDX24_K562_ENCSR999WKT,K562,1,/tscc/projects/ps-yeolab3/eboyle/encode/pipeline/adapters/fwd_encode3.fasta,/tscc/projects/ps-yeolab3/eboyle/encode/pipeline/adapters/RiL19.fasta,/tscc/projects/ps-yeolab4/seqdata/eclip_fastq/sm_input/ENCFF113HCY.fastq.gz,/tscc/projects/ps-yeolab4/seqdata/eclip_fastq/sm_input/ENCFF739MOT.fastq.gz,1,/tscc/projects/ps-yeolab3/eboyle/encode/pipeline/adapters/fwd_encode3.fasta,/tscc/projects/ps-yeolab3/eboyle/encode/pipeline/adapters/A01_B06.fasta,/tscc/projects/ps-yeolab4/seqdata/eclip_fastq/clip/ENCFF692JAV.fastq.gz,/tscc/projects/ps-yeolab4/seqdata/eclip_fastq/clip/ENCFF661UCF.fastq.gz,ENCSR999WKT,A01,B06,DDX24
DDX3X_K562_ENCSR930BZL,DDX3X_K562_ENCSR930BZL,K562,1,/tscc/projects/ps-yeolab3/eboyle/encode/pipeline/adapters/fwd_encode3.fasta,/tscc/projects/ps-yeolab3/eboyle/encode/pipeline/adapters/RiL19.fasta,/tscc/projects/ps-yeolab4/seqdata/eclip_fastq/sm_input/ENCFF006DQH.fastq.gz,/tscc/projects/ps-yeolab4/seqdata/eclip_fastq/sm_input/ENCFF768GAB.fastq.gz,1,/tscc/projects/ps-yeolab3/eboyle/encode/pipeline/adapters/fwd_encode3.fasta,/tscc/projects/ps-yeolab3/eboyle/encode/pipeline/adapters/A01_B06.fasta,/tscc/projects/ps-yeolab4/seqdata/eclip_fastq/clip/ENCFF151JUK.fastq.gz,/tscc/projects/ps-yeolab4/seqdata/eclip_fastq/clip/ENCFF029BAQ.fastq.gz,ENCSR930BZL,A01,B06,DDX3X
DDX42_K562_ENCSR576SHT,DDX42_K562_ENCSR576SHT,K562,1,/tscc/projects/ps-yeolab3/eboyle/encode/pipeline/adapters/fwd_encode3.fasta,/tscc/projects/ps-yeolab3/eboyle/encode/pipeline/adapters/RiL19.fasta,/tscc/projects/ps-yeolab4/seqdata/eclip_fastq/sm_input/ENCFF409TRK.fastq.gz,/tscc/projects/ps-yeolab4/seqdata/eclip_fastq/sm_input/ENCFF037AIE.fastq.gz,1,/tscc/projects/ps-yeolab3/eboyle/encode/pipeline/adapters/fwd_encode3.fasta,/tscc/projects/ps-yeolab3/eboyle/encode/pipeline/adapters/A01_B06.fasta,/tscc/projects/ps-yeolab4/seqdata/eclip_fastq/clip/ENCFF196YUL.fastq.gz,/tscc/projects/ps-yeolab4/seqdata/eclip_fastq/clip/ENCFF092NLI.fastq.gz,ENCSR576SHT,A01,B06,DDX42
DDX6_K562_ENCSR893EFU,DDX6_K562_ENCSR893EFU,K562,1,/tscc/projects/ps-yeolab3/eboyle/encode/pipeline/adapters/fwd_encode3.fasta,/tscc/projects/ps-yeolab3/eboyle/encode/pipeline/adapters/RiL19.fasta,/tscc/projects/ps-yeolab4/seqdata/eclip_fastq/sm_input/ENCFF301TAX.fastq.gz,/tscc/projects/ps-yeolab4/seqdata/eclip_fastq/sm_input/ENCFF510SNL.fastq.gz,1,/tscc/projects/ps-yeolab3/eboyle/encode/pipeline/adapters/fwd_encode3.fasta,/tscc/projects/ps-yeolab3/eboyle/encode/pipeline/adapters/A01_B06.fasta,/tscc/projects/ps-yeolab4/seqdata/eclip_fastq/clip/ENCFF024VZT.fastq.gz,/tscc/projects/ps-yeolab4/seqdata/eclip_fastq/clip/ENCFF163DCH.fastq.gz,ENCSR893EFU,A01,B06,DDX6
DROSHA_K562_ENCSR653HQC,DROSHA_K562_ENCSR653HQC,K562,1,/tscc/projects/ps-yeolab3/eboyle/encode/pipeline/adapters/fwd_encode3.fasta,/tscc/projects/ps-yeolab3/eboyle/encode/pipeline/adapters/RiL19.fasta,/tscc/projects/ps-yeolab4/seqdata/eclip_fastq/sm_input/ENCFF018AVT.fastq.gz,/tscc/projects/ps-yeolab4/seqdata/eclip_fastq/sm_input/ENCFF004HVL.fastq.gz,1,/tscc/projects/ps-yeolab3/eboyle/encode/pipeline/adapters/fwd_encode3.fasta,/tscc/projects/ps-yeolab3/eboyle/encode/pipeline/adapters/A01_B06.fasta,/tscc/projects/ps-yeolab4/seqdata/eclip_fastq/clip/ENCFF073ILV.fastq.gz,/tscc/projects/ps-yeolab4/seqdata/eclip_fastq/clip/ENCFF307CXZ.fastq.gz,ENCSR653HQC,A01,B06,DROSHA
