accession	rank	exon_subtype
snoRNA	1	SMALL
snRNA	2	SMALL
scaRNA	3	SMALL
scRNA	4	SMALL
miRNA	5	SMALL
vault_RNA	6	SMALL
rRNA	7	SMALL
rRNA_pseudogene	8	SMALL
Mt_rRNA	9	SMALL
Mt_tRNA	10	SMALL
ribozyme	11	SMALL
sRNA	12	SMALL
misc_RNA	13	SMALL
IG_C_gene	14	MRNA
IG_V_gene	15	MRNA
IG_J_gene	16	MRNA
IG_D_gene	17	MRNA
TR_C_gene	18	MRNA
TR_V_gene	19	MRNA
TR_J_gene	20	MRNA
TR_D_gene	21	MRNA
protein_coding	22	MRNA
retained_intron	23	MRNA
non_stop_decay	24	MRNA
protein_coding_LoF	25	MRNA
nonsense_mediated_decay	26	MRNA
TEC	27	MRNA
lncRNA	28	LNCRNA
processed_transcript	29	LNCRNA
IG_C_pseudogene	30	PSEUDO
IG_V_pseudogene	31	PSEUDO
IG_J_pseudogene	32	PSEUDO
IG_pseudogene	33	PSEUDO
TR_V_pseudogene	34	PSEUDO
TR_J_pseudogene	35	PSEUDO
pseudogene	36	PSEUDO
polymorphic_pseudogene	37	PSEUDO
translated_processed_pseudogene	38	PSEUDO
translated_unprocessed_pseudogene	39	PSEUDO
transcribed_processed_pseudogene	40	PSEUDO
transcribed_unitary_pseudogene	41	PSEUDO
transcribed_unprocessed_pseudogene	42	PSEUDO
unitary_pseudogene	43	PSEUDO
processed_pseudogene	44	PSEUDO
unprocessed_pseudogene	45	PSEUDO
