id	feature	clip_count	global_fraction	clip_fraction	entropy_contribution
TROVE2:H	Y_RNA	75	1.1842502849803014e-4	0.5273003301181527	6.3911094639395545
TBRG4:H	Antisense_L1	5	1.0643262054886253e-4	0.4545579853289481	5.482109414497599
XRN2:H	snRNA	1	2.7304143098551254e-4	0.5000682696779717	5.420134695741974
SSB:H	tRNA	24	1.9680398045151845e-4	0.4755964444582884	5.345115634497756
AARS:K	tRNA	15	1.9680398045151845e-4	0.4590705397013715	5.13596217786179
TBRG4:H	tRNA	5	1.9680398045151845e-4	0.4545579853289481	5.078998752084796
SBDS:K	tRNA	4	1.9680398045151845e-4	0.4022424987368065	4.423497121917386
HLTF:K	L1	29	9.593926359334087e-5	0.33947142793827684	4.001988323552879
TROVE2:K	Y_RNA	98	1.1842502849803014e-4	0.3389471680848403	3.892086499366102
WDR3:K	snoRNA	8	5.373027061510988e-4	0.4060158036219527	3.88215464360805
WRN:K	tRNA	28	1.9680398045151845e-4	0.3569197207301808	3.863521953801276
PUS1:K	tRNA	7	1.9680398045151845e-4	0.30871544204277374	3.2771078139946423
NCBP2:H	protein_coding:UTR5	893	0.021864729493035945	0.6249054847234593	3.0226432068786493
SDAD1:K	snoRNA	10	5.373027061510988e-4	0.326586572513884	3.0201141159844074
UTP18:K	snoRNA	36	5.373027061510988e-4	0.320723162979154	2.9575094328984557
NPM1:K	primary_miRNA:PRIMIRNA	11	1.4455134581585957e-4	0.2704455801717279	2.93961920401107
RBM22:K	protein_coding:SS5_ADJ	3781	0.043398597016760035	0.7054068831820688	2.8376652008603775
EIF3G:K	protein_coding:UTR5	88	0.021864729493035945	0.5780044380350987	2.7307259965671538
LARP7:K	snoRNA	41	5.373027061510988e-4	0.28003058585294255	2.5274534624685945
NSUN2:K	tRNA	57	1.9680398045151845e-4	0.24559350856379306	2.5260022537089366
AKAP1:K	protein_coding:UTR3	3652	0.11666064547850885	0.8701413219292383	2.522480322713155
LARP7:K	7SK	33	1.0129301714207641e-4	0.22539047154017325	2.506269037036411
LARP7:H	snoRNA	37	5.373027061510988e-4	0.2772577995150729	2.498446894412889
DDX3X:H	protein_coding:UTR5	5645	0.021864729493035945	0.5284583932322062	2.428325760264003
HLTF:K	LTR	19	1.2377878204676568e-4	0.2224123148561124	2.4045566791630226
UPF1:H	protein_coding:UTR3	33942	0.11666064547850885	0.8424422134359989	2.402864031965951
